"","site","date","spacing_m","temp_avg","sal_avg","dist_from_bags","reclaimed","absent","consumed"
"270","styron",20200814,4,27.8,30,10,20,2,"0"
"271","styron",20200814,4,27.8,30,10,20,2,"0"
"272","styron",20200814,4,27.8,30,10,20,2,"0"
"273","styron",20200814,4,27.8,30,10,20,2,"0"
"274","styron",20200814,4,27.8,30,10,20,2,"0"
"275","styron",20200814,4,27.8,30,10,20,2,"0"
"276","styron",20200814,4,27.8,30,20,20,3,"1"
"277","styron",20200814,4,27.8,30,20,20,3,"1"
"278","styron",20200814,4,27.8,30,20,20,3,"0"
"279","styron",20200814,4,27.8,30,20,20,3,"0"
"280","styron",20200814,4,27.8,30,20,20,3,"0"
"281","styron",20200814,4,27.8,30,20,20,3,"0"
"282","styron",20200814,4,27.8,30,20,20,3,"0"
"283","styron",20200814,4,27.8,30,20,20,3,"0"
"284","styron",20200814,4,27.8,30,20,20,3,"0"
"285","styron",20200814,4,27.8,30,20,20,3,"0"
"286","styron",20200814,4,27.8,30,20,20,3,"0"
"287","styron",20200814,4,27.8,30,20,20,3,"0"
"288","styron",20200814,4,27.8,30,20,20,3,"0"
"289","styron",20200814,4,27.8,30,20,20,3,"0"
"290","styron",20200814,4,27.8,30,20,20,3,"0"
"291","styron",20200814,4,27.8,30,20,20,3,"0"
"292","styron",20200814,4,27.8,30,20,20,3,"0"
"293","styron",20200814,4,27.8,30,20,20,3,"0"
"294","styron",20200814,4,27.8,30,20,20,3,"0"
"295","styron",20200814,4,27.8,30,40,20,2,"1"
"296","styron",20200814,4,27.8,30,40,20,2,"0"
"297","styron",20200814,4,27.8,30,40,20,2,"0"
"298","styron",20200814,4,27.8,30,40,20,2,"0"
"299","styron",20200814,4,27.8,30,40,20,2,"0"
"300","styron",20200814,4,27.8,30,40,20,2,"0"
"301","styron",20200814,4,27.8,30,40,20,2,"0"
"302","styron",20200814,4,27.8,30,40,20,2,"0"
"303","styron",20200814,4,27.8,30,40,20,2,"0"
"304","styron",20200814,4,27.8,30,40,20,2,"0"
"305","styron",20200814,4,27.8,30,40,20,2,"0"
"306","styron",20200814,4,27.8,30,40,20,2,"0"
"307","styron",20200814,4,27.8,30,40,20,2,"0"
"308","styron",20200814,4,27.8,30,40,20,2,"0"
"309","styron",20200814,4,27.8,30,40,20,2,"0"
"310","styron",20200814,4,27.8,30,40,20,2,"0"
"311","styron",20200814,4,27.8,30,40,20,2,"0"
"312","styron",20200814,4,27.8,30,40,20,2,"0"
"313","styron",20200814,4,27.8,30,40,20,2,"0"
"314","mera",20200829,1,29.1,32.5,0,15,0,"0"
"315","mera",20200829,1,29.1,32.5,0,15,0,"0"
"316","mera",20200829,1,29.1,32.5,0,15,0,"0"
